sentence_id,sentence
SEN-00001,மெய்யன்பு
SEN-00002,கல்லடி
SEN-00003,உள்ளறை
SEN-00004,பூச்செடி
SEN-00005,குழலோசை
SEN-00006,பலாக் கொட்டை
SEN-00007,ஆட்டுத் தலை
SEN-00008,குதிரைக் குளம்பு
SEN-00009,உயிர்ச் சேதம்
SEN-00010,தமிழ்ப் பணி
SEN-00011,முதல் பாடம்
SEN-00012,பொன் தகடு
SEN-00013,ஆட்குறைப்பு
SEN-00014,பொற்குடம்
SEN-00015,எண்ணெய்ச் சட்டி
SEN-00016,மிளகாய்த் தோட்டம்
SEN-00017,தமிழ்ப் பாடம்
SEN-00018,இறுதி ஆண்டு
SEN-00019,றுறுராட்சி ஒன்றியம்
SEN-00020,விண்வெளி ஓடம்
SEN-00021,கொண்டை ஊசி
SEN-00022,சோடா உப்பு
SEN-00023,பச்சை உடம்பு
SEN-00024,காரிருள்
SEN-00025,நற்செயல்
SEN-00026,பேராசை
SEN-00027,மாபெரும்
SEN-00028,மூவுலகு
SEN-00029,வெண்தாடி
SEN-00030,கெட்ட பழக்கம்
SEN-00031,சிறிய வீடு
SEN-00032,நல்ல பெயர்
SEN-00033,புதிய உலகம்
SEN-00034,வெறும் ஓசை
SEN-00035,இதுபற்றி
SEN-00036,கிளைமீது
SEN-00037,ஆள்மூலம்
SEN-00038,கூரைமேல்
SEN-00039,இதைப் பற்றி
SEN-00040,ணூளையின் மீது
SEN-00041,ஆளின் மூலம்
SEN-00042,கூரைக்கு மேல்
SEN-00043,பழக்கமாகு
SEN-00044,வளர்தொழில்
SEN-00045,வெடிபொருள்
SEN-00046,பாசமிகு தம்பி
SEN-00047,புலனறி உணர்வு
SEN-00048,சிரித்துக்கொண்டான்
SEN-00049,கொண்டான்)
SEN-00050,கொடுத்தாயிற்று
SEN-00051,போய்த்தொலை
SEN-00052,துண்டிக்கப்பட்டுவிட்டது
SEN-00053,பட்டு விட்டது)
SEN-00054,கிடைக்கப்பெற்றேன்
SEN-00055,பெற்றேன்)
SEN-00056,போகச்செய்தேன்.
SEN-00057,குழந்தையைத் தூங்கப்பண்ணு.
SEN-00058,என்னை அழவைத்தான்.
SEN-00059,செய்
SEN-00060,", பண்ணு"
SEN-00061,", வை"
SEN-00062,உருண்டோடியது
SEN-00063,காய்கனி
SEN-00064,கணக்குவழக்கு
SEN-00065,கஷ்டநஷ்டம்
SEN-00066,கைகால்
SEN-00067,தாய்தந்தை
SEN-00068,முத்துமுத்தாக
SEN-00069,வேறிடம்: வேறு இடத்தில்
SEN-00070,வேறுசில: வேறு சிலவும்
SEN-00071,வேறுபல: வேறு பலவற்றை
SEN-00072,போயே தொலைந்தான்
SEN-00073,பறந்தோ போகும் (பறந்துபோகும்)
SEN-00074,அழவும் வைத்தான் (அழவைத்தான்)
SEN-00075,ரூகையோ நட்டோ (நகைநட்டு)
SEN-00076,ணூணக்காவது வழக்காவது
SEN-00077,அத்தகுதி
SEN-00078,அவ்வூரில்
SEN-00079,நான் குழப்பம் அடைந்திருக்கிறேன்.
SEN-00080,என் கையெழுத்து அல்ல.
SEN-00081,மகள் அல்ல. மருமகள்.
SEN-00082,நீ கேட்டாலல்லவா கிடைக்கும்?
SEN-00083,"நீ கேட்டால் கிடைக்கும், அல்லவா?"
SEN-00084,"நீ குமாருடைய தம்பி, அல்லவா?"
SEN-00085,மாரளவுக்கு
SEN-00086,அவன் அடிக்குமளவுக்குப் போய்விட்டான்.
SEN-00087,நீ வேண்டுமளவு சாப்பிடலாம்.
SEN-00088,எல்லாரும் புரிந்துகொள்ளும் அளவில் இல்லை.
SEN-00089,உளவுத்துறையினரால் கண்காணிக்கப்படும் அளவுக்கு...
SEN-00090,நீதிபதி தீர்ப்பளித்தார்.
SEN-00091,மக்கள் இவருக்கு ஆதரவளிப்பார்கள்.
SEN-00092,கவலையற்ற வாழ்க்கை
SEN-00093,"கபிலர், பரணர் ஆகிய சங்கப் புலவர்கள்"
SEN-00094,"தமிழ், தெலுங்கு, மலையாளம், கன்னடம் ஆகிய நான்கு மொழிகள்"
SEN-00095,அவ்வாறு செய்வது தவறாயிற்றே.
SEN-00096,எந்த மதமாயினும் சம்மதம்.
SEN-00097,பழியாயினும் பாவமாயினும்...
SEN-00098,"பிரபல நடிகர் நடிக்கவில்லை; ஆயினும், படம் வெற்றிபெற்றுவிட்டது -> பிரபல நடிகர் நடிக்கவில்லையாயினும் படம் வெற்றிபெற்றுவிட்டது."
SEN-00099,மழை பெய்யுமானால் மாற்று ஏற்பாடு வேண்டியதுதான்.
SEN-00100,அவர் வீட்டில் இருப்பாரானால் அழைத்துவா.
SEN-00101,அவள் அழுகிறாள்; நீயானால் சிரிக்கிறாய்.
SEN-00102,இவ்வூரில்
SEN-00103,இதற்கிடையில் வேறு ஒரு சம்பவம்
SEN-00104,காலையிலிருந்து வேலை.
SEN-00105,மோர் இல்லாமல் முடியாது.
SEN-00106,அறை போதிய வெளிச்சம் இல்லாமல் இருக்கிறது.
SEN-00107,போட்டி இல்லை
SEN-00108,தேவை இல்லை
SEN-00109,வரவில்லை
SEN-00110,பாடவில்லை
SEN-00111,கண்டுகொள்ளவில்லை
SEN-00112,எப்போதும் பணமின்றித் தவிக்கிறார்.
SEN-00113,இருந்தனர்.
SEN-00114,வந்தவுடன்
SEN-00115,பார்த்தவுடனே
SEN-00116,"மக்களுடைய உரிமைகள் 2. ‘இருக்கிற’, ‘உள்ள’ என்னும் பொருளில் ஒன்றின்/ஒருவரின் தன்மையைக் குறிப்பிடும்போது சேர்த்து எழுத வேண்டும்."
SEN-00117,மணமுடைய மலர்கள்
SEN-00118,தகுதியுடைய மாணவர்கள்
SEN-00119,மனிதனுக்கு மரணம் உண்டு.
SEN-00120,நம் இரக்கத்திற்குரிய நபர்
SEN-00121,உனக்குள்ள தைரியம
SEN-00122,எவ்வேறுபாடும்
SEN-00123,அறையெல்லாம் சுத்தமாக இருந்தது.
SEN-00124,கையெல்லாம் வலிக்கிறது.
SEN-00125,அவள் வரும்போதெல்லாம் பொம்மை வாங்கிவருவாள்.
SEN-00126,கொடுக்க முடியாது.
SEN-00127,"மணி, பாலு, வசந்தி எல்லோரும் என் நண்பர்களே."
SEN-00128,இதெல்லாம் ஒரு சாப்பாடா?
SEN-00129,இவனெல்லாம் உருப்படமாட்டான்.
SEN-00130,மழை பெய்யாது என்றால் மாற்று ஏற்பாடு எதற்கு?
SEN-00131,ஏழை என்றால் இளப்பமா?
SEN-00132,உனக்கென்று வாங்கிய சட்டை
SEN-00133,விருந்தினர் தங்குவதற்கென்று கட்டிய விடுதி
SEN-00134,இயற்கையின் எழிலை என்னவென்று
SEN-00135,சொல்வேன்!
SEN-00136,குருவி கீச்கீச்செனக் கத்திற்று.
SEN-00137,உனக்கென வாங்கிய சட்டை
SEN-00138,மீனாவிற்கு ஏற்ற மாப்பிள்ளை
SEN-00139,குப்குப்பென்று புகை
SEN-00140,வருவதேன்/வருவானேன்?
SEN-00141,"வீட்டுக்கொரு மரம் 2. ‘இந்தத் தன்மையானது என்று கூற முடியாத ...’ என்னும் பொருள் தரக்கூடிய அமைப்பில் ‘அப்படி’, ‘இப்படி’, ‘எப்படி’ என்பனவற்றோடு ‘ஒரு’ என்பதைச் சேர்த்து எழுத வேண்டும்."
SEN-00142,அப்படியொரு வலி !
SEN-00143,இப்படியொரு ஆளைப் பார்த்ததே இல்லை.
SEN-00144,எப்படியொரு நாடகமாடினார்!
SEN-00145,லட்சக்கணக்கான
SEN-00146,மணிக்கணக்காக
SEN-00147,மாதக்கணக்கில்
SEN-00148,படிக் கணக்கில்
SEN-00149,டஜன் கணக்கில்
SEN-00150,லிட்டர் கணக்காக
SEN-00151,கீழ்நிலை
SEN-00152,கீழ்த்திசை
SEN-00153,அவ்வாறு எண்ணுதல் கூடாது.
SEN-00154,அதிக விலைக்கு விற்பது கூடாது.
SEN-00155,பிடியுடன்கூடிய கத்தி
SEN-00156,நகைச்சுவையோடு கூடிய பேச்சு
SEN-00157,மழை பெய்ததே தவிர வெப்பம் தணியவில்லை.
SEN-00158,அவளைத்தான் கேட்க வேண்டும்.
SEN-00159,அவனையேதான் பார்த்துக்கொண்டிருந்தேன்.
SEN-00160,அவரிடம் சொல்லத்தான் வேண்டும்.
SEN-00161,இருக்கட்டுமே.
SEN-00162,தென்மாவட்டங்கள்
SEN-00163,நடுவானில்
SEN-00164,முற்றத்தின் நடுவில் துளசிமாடம்
SEN-00165,நெடுந்தூரம்
SEN-00166,சொன்னபடி செய்திருக்கிறேன்.
SEN-00167,பேரத்தைக் கைவிடும்படி ஆயிற்று.
SEN-00168,அவர் கேட்டுக்கொண்டதன் பிறகு தட்ட முடியவில்லை.
SEN-00169,பின்வாயில்
SEN-00170,அரசு அழைப்பின் பேரில் வந்திருக்கிறார்.
SEN-00171,நீ கொடுத்த புகாரின் பேரில் விசாரணை
SEN-00172,நீ சொன்னதன் பேரில் அவனுக்கு வேலை கொடுத்தேன்.
SEN-00173,நாய் குலைக்காதபோது வாலை ஆட்டுகிறது.
SEN-00174,குதிரைச் சவாரியின்போது கீழே விழுந்தார்.
SEN-00175,இவ்வளவு பணம் கொடுத்து இதைப்போய் வாங்க வேண்டாம்.
SEN-00176,ஒளி மங்குவதுபோல இருக்கிறது.
SEN-00177,மாங்காய் போன்று புளிப்புச் சுவை உடையது.
SEN-00178,பணம் கொடுக்காமல் மட்டும் போய்விடாதே.
SEN-00179,பொறுக்கமாட்டான்
SEN-00180,காலைமுதல் மாலைவரை கோயிலில் பூஜை
SEN-00181,ஊருக்கு வந்ததுமுதல் வீட்டிலேயேதான் இருக்கிறேன்.
SEN-00182,முற்பகுதி
SEN-00183,என்முன்
SEN-00184,தொலைபேசிமுன்பு
SEN-00185,சூரியன் உதிக்கும்முன் எழுந்துவிடுவார்.
SEN-00186,வேலையைத் தொடங்குமுன்பே பொருள்களைச் சரிபார்.
SEN-00187,இரு மாதங்களுக்கு முன்பு
SEN-00188,மேற்பகுதி
SEN-00189,கூரைமேல்
SEN-00190,கூரைக்கு மேல்
SEN-00191,மேலைக் கடல்
SEN-00192,வட திசை
SEN-00193,வாழ்த்துத் தந்திகள் வந்தவண்ணம் இருக்கின்றன.
SEN-00194,நீ செய்ததுவரைக்கும் சரி.
SEN-00195,வேலையை முடிக்காதவரை நிம்மதி இல்லை.
SEN-00196,மரபுவழி வேளாண் முறைகள்
SEN-00197,விழுந்தவாக்கில் இரண்டாக முறிந்துவிட்டது.
SEN-00198,வெகுவிரைவில்
SEN-00199,கடன் வாங்க வேண்டாம்.
SEN-00200,வேறுபல நூல்கள்
SEN-00201,வேறுசில செய்திகள்
SEN-00202,இதை ஒற்று இடாமல் எழுதுவது மிகுதி.
SEN-00203,எனக்கு அவரை (அரசியல்வாதியாக) தெரியாது.
SEN-00204,இவ்வாறே
SEN-00205,உடற்கூறியலைப் (anatomy) பற்றிய நூல்
SEN-00206,என்று அடைப்புக்குறியை அடுத்து வரும் சொல்லிற்காக ஒற்று தருவதைவிட
SEN-00207,உடற்கூறியலை (Anatomy) பற்றிய நூல்
SEN-00208,என்று ஒற்று தராமல் எழுதப்படுவது இன்றைய வழக்கு.
SEN-00209,ஒற்று இடாத முறையே பின்பற்றப்பட்டிருக்கிறது.
SEN-00210,எந்தப் பக்கம்
SEN-00211,போகக் கண்டேன்
SEN-00212,வரச்சொல்
SEN-00213,படிக்கப்படிக்க
SEN-00214,சரிவரக் கேள்
SEN-00215,கூடக் கொடு
SEN-00216,மிகச் சரி
SEN-00217,அவனாகப் பேச
SEN-00218,திருவிழாக் கூட்டம்
SEN-00219,ஊதாப் பூ
SEN-00220,கனாக் கண்டு
SEN-00221,விலாப் புடைக்க
SEN-00222,புறாக்கள்
SEN-00223,வெண்பாக்கள்
SEN-00224,நிறைவேறாக்கனவு
SEN-00225,பலா இலையில்
SEN-00226,குட்டிப் பையன்
SEN-00227,ஓடிப் போ
SEN-00228,மாதிரிப் படிவம்
SEN-00229,செடிகொடி
SEN-00230,குடிதண்ணீர்
SEN-00231,வெடிபொருள்
SEN-00232,செடிகள்
SEN-00233,மொழி இயல்பு
SEN-00234,தீப்பிடித்தது
SEN-00235,ஈக்கள்
SEN-00236,தீயணைப்பு
SEN-00237,தீ எரிகிறது
SEN-00238,மிளகுப் பொடி
SEN-00239,எஃகுத் தொழில்
SEN-00240,அச்சுக் கூலி
SEN-00241,பஞ்சுப் பொதி
SEN-00242,பசுக் கூட்டம்
SEN-00243,பட்டுச் சட்டை
SEN-00244,துண்டுத் தாள்
SEN-00245,நடுக் கடல்
SEN-00246,பூப் போல
SEN-00247,வாழைப்பூப் பொரியல்
SEN-00248,மல்லிகைப்பூப் பறிக்க
SEN-00249,பூங்கொடி
SEN-00250,பூஞ்செடி
SEN-00251,பூந்தோட்டம்
SEN-00252,பூவிதழ்
SEN-00253,மூவிலை
SEN-00254,இடையே இருக்கும்
SEN-00255,கீழேயிருந்து
SEN-00256,மேலேயிருந்து
SEN-00257,தைப்பொங்கல்
SEN-00258,குதிரைக் குளம்பு
SEN-00259,மண்பானைச் சமையல்
SEN-00260,நகரசபைத் தலைவர்
SEN-00261,பச்சைக் கிளி
SEN-00262,சித்திரைத் திங்கள்
SEN-00263,சாரைப் பாம்பு
SEN-00264,மல்லிகைப்பூ
SEN-00265,ஊருக்குப் போ
SEN-00266,நாளைக்கு பந்த்
SEN-00267,ஆண்கள்
SEN-00268,கண்கள்
SEN-00269,தூண்கள்
SEN-00270,விண்ணோக்கி
SEN-00271,பெண்ணாசை
SEN-00272,விண்ணுலகம்
SEN-00273,பிரேம்சந்தின்
SEN-00274,மாதந்தோறும்
SEN-00275,நிலங்கள்
SEN-00276,மரக் கிளை
SEN-00277,சங்கச்செய்யுள்
SEN-00278,சட்டத் திருத்தம்
SEN-00279,நாகரிகச் செயல்
SEN-00280,மாநகரப்பேருந்து
SEN-00281,காலச் சக்கரம்
SEN-00282,பொய்த் தூக்கம்
SEN-00283,தாய்ப் பாசம்
SEN-00284,போய்ச் சேர்
SEN-00285,நன்றாய்த் தெரிகிறது
SEN-00286,ஊர்ஊராய்த் திரிந்து
SEN-00287,காய்கனி
SEN-00288,தாய்சேய்
SEN-00289,தாய்தந்தை
SEN-00290,உயிர்த் தோழன்
SEN-00291,நகர்ப் பகுதி
SEN-00292,வெளிர்ப் பச்சை
SEN-00293,திடீர்ப் புரட்சி
SEN-00294,வயது வந்தோர் கல்வி
SEN-00295,சிறுவர் பள்ளி
SEN-00296,உயர்குடி
SEN-00297,வளர்தமிழ்
SEN-00298,நெற்பயிர்
SEN-00299,பாற்குடம்
SEN-00300,முதல் கடவுள்
SEN-00301,முதற்கடவுள்
SEN-00302,சொல் பயிற்சி
SEN-00303,சொற்பயிற்சி
SEN-00304,கற்குவியல்
SEN-00305,சொற்செட்டு
SEN-00306,தமிழ்த்திரைப்படங்கள்
SEN-00307,கூழ்ப் பதம்
SEN-00308,கீழ்க்கூரை
SEN-00309,கீழ்த்தாடை
SEN-00310,கீழ்ப்பகுதி
SEN-00311,செய்யுட்சிறப்பு
SEN-00312,செய்யுள் சிறப்பு
SEN-00313,மக்கள் தொகை
SEN-00314,தோள்பட்டை
SEN-00315,கள்ளுக்கடை
SEN-00316,கள்ளுக்கலயம்
SEN-00317,முள்ளுச்செடி
SEN-00318,எள்ளுப் பொடி
SEN-00319,மன்மத பாணம்
SEN-00320,வியாழக்கிழமை
SEN-00321,பேரப்பிள்ளை
SEN-00322,பொற்காசு
SEN-00323,முற்காலம்
SEN-00324,பொற்சிலை
SEN-00325,பொற்பேழை
SEN-00326,பொன் தகடு
SEN-00327,சூட்கேசுகள்
SEN-00328,பர்ஸில்
SEN-00329,பர்சில்
SEN-00330,போலீஸிடம்
SEN-00331,போலீசிடம்
SEN-00332,பஸ்ஸை
SEN-00333,பஸ்சை
SEN-00334,பஸ்ஸில்
